Model,TN,FP,FN,TP,Accuracy,Precision,Recall,F1-Score
Original - DenseNet,198.0,2668.0,195.0,7319.0,72.42,73.29,97.4,83.64
DDPM - Swin Transformer,40.0,2826.0,150.0,7364.0,71.33,72.27,98.0,83.19
DDPM_UPSCALED - DenseNet,397.0,2469.0,898.0,6616.0,67.56,72.82,88.05,79.72
DDPM_UPSCALED - BioViT,1072.0,1794.0,1795.0,5719.0,65.42,76.12,76.11,76.12
DCGAN - BioViT,707.0,2159.0,1648.0,5866.0,63.32,73.1,78.07,75.5
DDPM - DenseNet,660.0,2206.0,1738.0,5776.0,62.0,72.36,76.87,74.55
DDPM_UPSCALED - ResNet18,1978.0,888.0,2792.0,4722.0,64.55,84.17,62.84,71.96
DCGAN_UPSCALED - BioViT,1440.0,1426.0,3106.0,4408.0,56.34,75.56,58.66,66.05
DCGAN_UPSCALED - DenseNet,1128.0,1738.0,3145.0,4369.0,52.96,71.54,58.14,64.15
DDPM - ResNet18,2264.0,602.0,4589.0,2925.0,49.99,82.93,38.93,52.98
DCGAN - ResNet18,2303.0,563.0,4698.0,2816.0,49.32,83.34,37.48,51.7
DDPM_UPSCALED - ViT,2344.0,522.0,4737.0,2777.0,49.34,84.18,36.96,51.36
Original - ResNet18,2383.0,483.0,4780.0,2734.0,49.3,84.99,36.39,50.96
DCGAN_UPSCALED - ResNet18,2141.0,725.0,5060.0,2454.0,44.27,77.19,32.66,45.9
DCGAN - ViT,2465.0,401.0,5166.0,2348.0,46.37,85.41,31.25,45.76
DCGAN_UPSCALED - ViT,2227.0,639.0,5380.0,2134.0,42.01,76.96,28.4,41.49
DCGAN_UPSCALED - Swin Transformer,2026.0,840.0,5472.0,2042.0,39.19,70.85,27.18,39.28
Original - Swin Transformer,2527.0,339.0,5711.0,1803.0,41.71,84.17,24.0,37.34
DDPM - MedViT,2563.0,303.0,5745.0,1769.0,41.73,85.38,23.54,36.91
DDPM_UPSCALED - Swin Transformer,2316.0,550.0,5812.0,1702.0,38.71,75.58,22.65,34.86
DCGAN - Swin Transformer,2558.0,308.0,5977.0,1537.0,39.45,83.31,20.46,32.85
DCGAN - MedViT,2512.0,354.0,6190.0,1324.0,36.96,78.9,17.62,28.81
DDPM - ViT,2622.0,244.0,6371.0,1143.0,36.27,82.41,15.21,25.68
DCGAN_UPSCALED - MedViT,2431.0,435.0,6405.0,1109.0,34.1,71.83,14.76,24.49
DDPM_UPSCALED - MedViT,2610.0,256.0,6480.0,1034.0,35.11,80.16,13.76,23.49
Original - BioViT,2490.0,376.0,6804.0,710.0,30.83,65.38,9.45,16.51
Original - ViT,2780.0,86.0,6945.0,569.0,32.26,86.87,7.57,13.93
DDPM - BioViT,2572.0,294.0,6966.0,548.0,30.06,65.08,7.29,13.12
Original - MedViT,2767.0,99.0,7067.0,447.0,30.96,81.87,5.95,11.09
DCGAN - DenseNet,2566.0,300.0,7062.0,452.0,29.08,60.11,6.02,10.94
